Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
DAX,Global X DAX Germany ETF,Equity,"US$15,080,518.00 ",6.01%,"3,855",US$25.04 ,-0.24%,No,No,-0.48%,3.51%,-21.74%,17.24%,N/A,US$0.00 ,US$0.00 ,US$0.00 ,"(US$2,793,665.00)","US$2,519,845.00 ","US$4,923,161.50 ",Europe Equities,22/10/2014,0.20%,N/A,US$0.79 ,28/12/2018,US$0.44 ,3.13%,0,1,31,65.41%,35%,15%,1099,US$23.95 ,US$25.36 ,US$24.99 ,US$25.09 ,55.19,C+,B-,B+,N/A,C+,C+,C+,7.22,74.12%,95.60%,200.9,17.64%,9.35%
ADRU,Invesco BLDRS Europe Select ADR Index Fund,Equity,"US$13,187,726.00 ",6.69%,"4,780",US$20.26 ,0.90%,No,No,2.89%,4.33%,-12.25%,17.45%,3.86%,"(US$977,068.50)",US$0.00 ,"(US$977,068.50)","(US$2,130,942.50)","(US$4,647,342.50)","(US$1,049,314.50)",Europe Equities,13/11/2002,0.30%,N/A,US$0.74 ,24/12/2018,US$0.13 ,3.63%,14.52,0.87,70,43.66%,35%,15%,1099,US$18.51 ,US$20.54 ,US$20.26 ,US$20.26 ,56.46,B+,C,A-,B-,A-,A-,B+,6.76,28.15%,88.29%,122.81,11.16%,4.36%
HEWP,iShares Currency Hedged MSCI Spain ETF,Equity,"US$12,431,468.00 ",6.08%,"4,261",US$20.68 ,-1.19%,No,No,-2.11%,2.35%,-7.67%,21.94%,N/A,"(US$2,007,060.00)",US$0.00 ,"(US$1,030,361.50)","(US$22,381,233.50)","(US$57,143,576.00)","US$19,005,424.00 ",Europe Equities,29/6/2015,0.50%,N/A,US$0.80 ,28/12/2018,US$0.46 ,3.80%,13.41,0.83,2,100.00%,35%,15%,1099,US$20.11 ,US$21.27 ,US$20.66 ,US$20.74 ,53.79,N/A,N/A,B-,N/A,N/A,B-,C,N/A,N/A,N/A,N/A,N/A,N/A
DDEZ,WisdomTree Dynamic Currency Hedged Europe Equity Fund,Equity,"US$12,275,913.00 ",6.58%,990,US$27.22 ,-0.11%,No,No,0.13%,4.09%,-13.21%,24.10%,N/A,US$0.00 ,US$0.00 ,US$0.00 ,"(US$958,075.50)","US$10,922,761.10 ","US$10,922,761.10 ",Europe Equities,7/1/2016,0.43%,N/A,US$1.73 ,4/12/2018,US$0.87 ,6.34%,12.97,0.62,375,21.85%,39%,20%,1099,US$25.96 ,US$27.48 ,US$27.22 ,US$27.22 ,59.23,N/A,N/A,A-,N/A,N/A,N/A,N/A,7.16,68.79%,94.75%,199.1,18.03%,5.18%
EUDV,ProShares MSCI Europe Dividend Growers ETF,Equity,"US$10,715,564.00 ",6.65%,"1,674",US$38.82 ,-0.08%,No,No,0.99%,5.06%,-8.34%,12.94%,N/A,US$0.00 ,US$0.00 ,US$0.00 ,"US$4,171,497.25 ","US$9,385,427.75 ","US$7,709,677.75 ",Europe Equities,9/9/2015,0.55%,N/A,US$0.81 ,26/12/2018,US$0.06 ,1.92%,14.77,0.85,36,30.44%,39%,20%,1099,US$36.99 ,US$39.11 ,US$38.70 ,US$38.93 ,60.01,N/A,N/A,C+,N/A,N/A,C,B,7.42,98.96%,97.53%,65.43,10.72%,6.47%
FLEU,Barclays ETN+ FI Enhanced Europe 50 ETNotes Series B,Equity,"US$10,240,176.00 ",9.91%,"2,407",US$119.31 ,0.41%,No,2x,3.51%,6.57%,-31.30%,N/A,N/A,"(US$18,508,212.57)",US$0.00 ,"(US$18,508,212.57)","(US$239,412,445.11)","(US$38,759,108.17)","(US$38,759,108.17)",Leveraged Equities,2/11/2016,0.76%,N/A,US$0.00 ,N/A,N/A,0.00%,0,1.38,N/A,N/A,20%,39%,1099,US$110.34 ,US$118.68 ,US$118.77 ,US$119.58 ,56.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HFXE,IQ 50 Percent Hedged FTSE Europe ETF,Equity,"US$10,078,800.00 ",6.77%,"8,392",US$18.23 ,0.11%,No,No,1.31%,4.74%,-9.29%,19.88%,N/A,US$0.00 ,US$0.00 ,US$0.00 ,"(US$156,896,282.42)","(US$25,757,621.42)","US$948,906.08 ",Europe Equities,22/7/2015,0.30%,N/A,US$0.74 ,27/12/2018,US$0.28 ,4.04%,14.9,0.74,581,17.76%,35%,15%,1099,US$17.34 ,US$18.28 ,US$18.21 ,US$18.25 ,60.76,N/A,N/A,B+,N/A,N/A,C,A,6.99,48.58%,92.30%,147.85,13.06%,5.91%
FLIY,Franklin FTSE Italy ETF,Equity,"US$9,730,213.00 ",6.58%,"6,768",US$21.61 ,-1.01%,No,No,-0.53%,3.69%,-20.52%,N/A,N/A,US$0.00 ,US$0.00 ,US$0.00 ,"US$7,550,893.50 ","US$7,550,893.50 ","US$7,550,893.50 ",Europe Equities,2/11/2017,0.09%,N/A,US$0.61 ,20/12/2018,US$0.09 ,2.81%,11.56,-4.46,37,65.85%,39%,20%,1099,US$20.90 ,US$21.95 ,US$21.61 ,US$21.61 ,55.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.15,7.95%,71.65%,327.84,14.93%,1.93%
ZGBR,SPDR Solactive United Kingdom ETF,Equity,"US$9,673,212.00 ",8.63%,"2,650",US$48.28 ,0.29%,No,No,2.24%,5.58%,-9.25%,16.39%,N/A,US$0.00 ,US$0.00 ,US$0.00 ,US$0.00 ,US$0.00 ,US$0.00 ,Europe Equities,11/6/2014,0.14%,N/A,US$2.16 ,21/12/2018,US$1.15 ,4.51%,12.06,0.77,109,43.65%,N/A,N/A,N/A,US$45.44 ,US$48.20 ,US$48.07 ,US$48.44 ,62.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.58,19.30%,83.81%,118.21,16.03%,3.13%
FKU,First Trust United Kingdom AlphaDEX Fund,Equity,"US$8,949,354.00 ",11.43%,"6,384",US$35.67 ,0.37%,No,No,2.50%,13.67%,-11.33%,7.96%,-0.93%,"(US$1,647,464.50)",US$0.00 ,"(US$1,647,464.50)","(US$8,346,159.50)","(US$159,412,873.00)","US$33,383,064.50 ",Europe Equities,14/2/2012,0.80%,N/A,US$1.64 ,18/12/2018,US$0.27 ,4.61%,10.6,0.98,76,22.88%,35%,15%,1099,US$31.47 ,US$36.49 ,US$35.63 ,US$35.73 ,64.47,B+,B+,C,A-,B+,B+,B+,6.85,35.19%,90.07%,264.47,10.53%,9.01%
ZDEU,SPDR Solactive Germany ETF,Equity,"US$8,191,592.00 ",5.11%,603,US$54.55 ,-0.07%,No,No,-0.68%,3.55%,-18.30%,22.16%,N/A,US$0.00 ,US$0.00 ,US$0.00 ,US$0.00 ,US$0.00 ,US$0.00 ,Europe Equities,11/6/2014,0.14%,N/A,US$1.55 ,21/12/2018,US$0.07 ,2.84%,11.39,0.9,48,59.52%,N/A,N/A,N/A,US$52.31 ,US$55.31 ,US$54.53 ,US$54.60 ,54.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.12,64.25%,94.14%,129.27,17.15%,9.59%
EUFL,Direxion Daily European Financials Bull 2x Shares,Equity,"US$8,066,354.00 ",12.50%,956,US$26.89 ,-0.48%,No,2x,-3.45%,6.58%,-48.46%,N/A,N/A,US$0.00 ,US$0.00 ,US$0.00 ,"US$7,566,303.00 ","US$7,342,272.50 ","US$7,342,272.50 ",Leveraged Equities,27/7/2016,1.09%,N/A,US$0.79 ,27/12/2018,US$0.30 ,2.92%,0,1.7,2,100.00%,20%,39%,1099,US$25.11 ,US$28.25 ,US$26.89 ,US$26.89 ,51.84,N/A,N/A,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
