Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
EWP,iShares MSCI Spain ETF,Equity,"US$991,897,471.00 ",5.74%,"1,164,866",US$28.36 ,-1.05%,No,No,-1.70%,2.72%,-18.00%,19.76%,-9.97%,"(US$43,705,404.75)","(US$8,629,959.00)","(US$31,636,220.25)","US$213,590,571.00 ","(US$19,360,902.75)","US$552,319,654.50 ",Europe Equities,12/3/1996,0.47%,TD Ameritrade,US$0.99 ,18/12/2018,US$0.52 ,3.45%,12.88,0.84,26,69.75%,35%,15%,1099,US$27.60 ,US$29.00 ,US$28.25 ,US$28.50 ,54.21,B-,A,B,C,C,A-,C+,7.64,93.53%,98.96%,221.17,15.98%,7.49%
EWL,iShares MSCI Switzerland ETF,Equity,"US$857,853,072.00 ",5.30%,"1,245,021",US$33.19 ,-0.39%,No,No,0.42%,3.59%,-8.74%,22.46%,16.85%,"(US$16,449,365.00)",US$0.00 ,"(US$16,449,365.00)","(US$368,008,422.50)","(US$445,632,593.75)","(US$158,646,846.25)",Europe Equities,12/3/1996,0.47%,N/A,US$0.81 ,19/6/2018,US$0.81 ,2.43%,24.48,0.78,44,67.29%,35%,15%,1099,US$32.08 ,US$33.64 ,N/A,N/A,56.99,A-,A-,B,A-,A,B+,B-,6.97,45.18%,91.88%,157.95,3.28%,1.72%
DBEU,Xtrackers MSCI Europe Hedged Equity Fund,Equity,"US$811,607,502.00 ",6.40%,"559,966",US$26.78 ,0.22%,No,No,1.36%,4.24%,-3.49%,18.01%,24.16%,"(US$71,580,024.50)",US$0.00 ,"(US$31,510,712.50)","(US$1,041,656,095.00)","(US$3,155,055,406.40)","US$902,491,220.18 ",Europe Equities,1/10/2013,0.45%,N/A,US$0.89 ,19/12/2018,US$0.36 ,3.35%,13.22,0.68,436,18.38%,35%,15%,1099,US$25.57 ,US$26.87 ,US$26.70 ,US$26.84 ,59.32,A+,A-,A-,A,A-,A,A,7.04,55.62%,93.14%,143.11,12.71%,5.63%
DFE,WisdomTree Europe SmallCap Dividend,Equity,"US$705,787,946.00 ",7.96%,"108,308",US$57.61 ,-0.26%,No,No,0.17%,5.92%,-19.31%,21.45%,16.73%,"(US$30,105,175.50)",US$0.00 ,"(US$14,159,911.50)","(US$322,934,918.00)","(US$248,522,616.00)","(US$93,675,992.00)",Europe Equities,16/6/2006,0.58%,E*TRADE,US$2.65 ,24/12/2018,US$0.33 ,4.60%,14.02,0.81,432,9.54%,35%,15%,1099,US$54.91 ,US$58.43 ,US$57.52 ,US$57.76 ,59.78,A,B+,C+,A-,A,B+,A,5.96,18.13%,64.63%,133.06,5.62%,4.79%
FFEU,Barclays ETN+ FI Enhanced Europe 50 ETN Series C,Equity,"US$699,300,040.00 ",9.90%,"25,555",US$81.42 ,0.41%,No,2x,3.61%,5.84%,N/A,N/A,N/A,"US$18,485,646.62 ","US$5,661,955.72 ","US$13,057,791.62 ","US$778,482,478.95 ","US$778,482,478.95 ","US$778,482,478.95 ",Leveraged Equities,15/3/2018,1.05%,N/A,US$0.00 ,N/A,N/A,0.00%,0,-4.1,51,39.05%,39%,20%,1099,US$75.07 ,US$80.98 ,US$81.01 ,US$81.78 ,57.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EUFN,iShares MSCI Europe Financials ETF,Equity,"US$688,220,173.00 ",6.14%,"1,271,710",US$17.99 ,-0.17%,No,No,-1.75%,3.39%,-25.53%,13.56%,-10.59%,"(US$92,519,148.50)","(US$20,109,690.00)","(US$77,388,555.50)","(US$1,338,847,288.00)","US$642,965,098.50 ","US$566,901,590.50 ",Financials Equities,20/1/2010,0.48%,N/A,US$1.10 ,18/12/2018,US$0.28 ,6.09%,10.75,0.93,90,43.41%,35%,15%,1099,US$17.34 ,US$18.43 ,US$17.91 ,US$18.08 ,53.01,B+,A-,B-,A-,C+,B,A-,6.84,86.15%,89.89%,5.87,0.00%,0.98%
FEP,First Trust Europe AlphaDEX Fund,Equity,"US$618,442,805.00 ",9.68%,"229,461",US$33.98 ,-0.18%,No,No,0.53%,7.23%,-17.01%,31.23%,15.33%,"(US$27,705,276.00)",US$0.00 ,US$0.00 ,"(US$39,705,629.50)","US$249,069,587.30 ","US$234,688,865.06 ",Europe Equities,26/4/2011,0.80%,N/A,US$0.81 ,18/12/2018,US$0.04 ,2.39%,11.24,0.99,201,9.68%,35%,15%,1099,US$31.79 ,US$34.45 ,US$33.91 ,US$34.10 ,60.03,B+,B+,C,B,A-,B,A-,6.42,14.19%,79.59%,310.18,6.60%,6.91%
EWQ,iShares MSCI France ETF,Equity,"US$588,318,682.00 ",6.52%,"1,004,005",US$28.25 ,0.36%,No,No,2.32%,6.16%,-13.54%,30.61%,18.98%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$109,474,450.00)","US$178,499,848.00 ","US$235,603,848.00 ",Europe Equities,12/3/1996,0.47%,TD Ameritrade,US$0.77 ,18/12/2018,US$0.12 ,2.75%,14.07,0.88,94,46.68%,35%,15%,1099,US$26.33 ,US$28.22 ,US$28.16 ,US$28.34 ,60.99,B+,A-,B,B+,B-,B,B,7.22,74.23%,95.60%,158.14,18.72%,6.41%
FIEE,UBS AG FI Enhanced Europe 50 ETN,Equity,"US$453,347,717.00 ",10.50%,"6,319",US$137.46 ,0.30%,No,2x,3.14%,6.60%,-28.74%,N/A,N/A,"(US$5,136,892.00)",US$0.00 ,"(US$5,136,892.00)","(US$26,746,722.50)","US$352,356,697.10 ","US$352,356,697.10 ",Leveraged Equities,12/2/2016,0.95%,N/A,US$0.00 ,N/A,N/A,0.00%,0,-4.6,48,37.05%,39%,20%,1099,US$126.84 ,US$136.91 ,US$136.97 ,US$137.97 ,57.18,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FDD,First Trust STOXX European Select Dividend Index Fund,Equity,"US$361,926,084.00 ",6.37%,"220,771",US$12.70 ,-0.08%,No,No,1.20%,4.53%,-8.91%,23.48%,20.29%,"(US$7,442,232.00)","(US$2,505,526.00)","(US$7,442,232.00)","(US$168,901,984.00)","US$188,037,041.34 ","US$281,344,492.16 ",Europe Equities,30/8/2007,0.60%,N/A,US$0.60 ,18/12/2018,US$0.06 ,4.75%,13.96,0.81,31,46.34%,35%,15%,1099,US$12.10 ,US$12.77 ,US$12.67 ,US$12.73 ,62.07,B,B,C+,C+,A,A,C+,7.69,99.48%,99.14%,270.97,10.55%,10.69%
